Movie Name,Year,Timing(min),Rating(10),Votes,Genre,Language,unique_movies,weighted_average
Kartavya,1995,120,5.1,55,1824,5,Kartavya hindi 1995,5.2352041742286755
Run,2020,86,4.9,60,1624,17,Run telugu 2020,5.0787100893997446
Agar Tum Na Hote,1983,161,6.4,148,89,5,Agar Tum Na Hote hindi 1983,6.299263415629464
Neeli Aankhen,1962,120,5.1,7,16,5,Neeli Aankhen hindi 1962,5.46698275862069
Vrutham,1987,120,7.2,22,168,9,Vrutham malayalam 1987,6.413384121892542
Tich Button,0,120,5.0,1,2,19,Tich Button urdu 0,5.562523510971787
Ujda Chaman,2019,120,6.9,4866,5,5,Ujda Chaman hindi 2019,6.894367816091955
Daku Ka Ladka,1935,120,5.0,1,0,5,Daku Ka Ladka hindi 1935,5.562523510971787
Adhura,1995,120,5.0,1,8,5,Adhura hindi 1995,5.562523510971787
Ek Je Chhilo Desh,1977,109,8.0,30,8,2,Ek Je Chhilo Desh bengali 1977,7.0073630831643
Miracle,2019,120,5.0,1,24,17,Miracle telugu 2019,5.562523510971787
Sarigamalu,1994,120,7.1,15,158,17,Sarigamalu telugu 1994,6.218764367816092
Swarg,1990,160,6.7,1211,8,5,Swarg hindi 1990,6.681067789968652
Anirban,1981,120,5.0,1,0,1,Anirban assamese 1981,5.562523510971787
Chana Jor Garam,2018,122,5.0,1,8,3,Chana Jor Garam bhojpuri 2018,5.562523510971787
Devdoot,2005,120,5.0,1,1,2,Devdoot bengali 2005,5.562523510971787
Chinnada Gombe,1964,120,5.0,1,0,6,Chinnada Gombe kannada 1964,5.562523510971787
Chitralahari,2019,131,7.1,1770,819,17,Chitralahari telugu 2019,7.082286720961127
Kala Gulab,1933,120,5.0,1,0,5,Kala Gulab hindi 1933,5.562523510971787
Red Punch Knockdown,0,120,5.0,1,8,5,Red Punch Knockdown hindi 0,5.562523510971787
Vande Mataram,1999,120,5.0,1,1,5,Vande Mataram hindi 1999,5.562523510971787
Aadum Koothu,2006,106,7.2,15,8,16,Aadum Koothu tamil 2006,6.260431034482759
Noor E Ilahi,2016,120,5.0,1,2115,19,Noor E Ilahi urdu 2016,5.562523510971787
Brandichi Batli,1939,147,5.0,1,0,10,Brandichi Batli marathi 1939,5.562523510971787
Vikram,2021,120,5.0,1,124,16,Vikram tamil 2021,5.562523510971787
Pandava Vanavasam,1961,120,5.0,1,0,16,Pandava Vanavasam tamil 1961,5.562523510971787
The Man Who Knew Infinity,2015,108,7.2,52399,48,16,The Man Who Knew Infinity tamil 2015,7.199354740885947
Disha,2014,120,5.0,1,218,9,Disha malayalam 2014,5.562523510971787
Pattakkatti Bairavan,1979,148,3.7,9,0,16,Pattakkatti Bairavan tamil 1979,5.02251724137931
Mudda: The Issue,2003,155,4.0,27,8,5,Mudda: The Issue hindi 2003,4.695323275862069
Musthaffaa,1996,120,5.0,1,18,16,Musthaffaa tamil 1996,5.562523510971787
Anhonee,1973,127,7.1,36,81924,5,Anhonee hindi 1973,6.543430127041742
Hum Ek Hain,1946,121,7.1,28,8,5,Hum Ek Hain hindi 1946,6.452561576354679
Pathrosinte Padappukal,0,120,5.0,1,5,9,Pathrosinte Padappukal malayalam 0,5.562523510971787
Ajagajantharam,2021,120,5.0,1,15,9,Ajagajantharam malayalam 2021,5.562523510971787
Naan Oru Malaysian,1991,120,5.0,1,8,16,Naan Oru Malaysian tamil 1991,5.562523510971787
Tanariri,1975,120,5.0,1,4812,4,Tanariri gujarati 1975,5.562523510971787
Jugari,1939,120,5.0,1,0,5,Jugari hindi 1939,5.562523510971787
Naatak,1947,120,5.0,1,89,5,Naatak hindi 1947,5.562523510971787
Lok Parlok,1995,120,5.0,1,8,5,Lok Parlok hindi 1995,5.562523510971787
Spring Thunder,2018,113,5.0,1,68,5,Spring Thunder hindi 2018,5.562523510971787
Dishkiyaoon,2014,119,5.2,977,124,5,Dishkiyaoon hindi 2014,5.208191901043467
Apna Bana Lo,1982,120,5.7,22,89,5,Apna Bana Lo hindi 1982,5.645942261427425
Palnati Brahmanayudu,2003,180,2.6,202,18,17,Palnati Brahmanayudu telugu 2003,2.881504561620535
Shahida,1949,120,5.0,1,0,19,Shahida urdu 1949,5.562523510971787
Senthamizh Selvan,1994,120,3.3,9,0,16,Senthamizh Selvan tamil 1994,4.902517241379311
Double Seat,2015,138,7.8,286,819,10,Double Seat marathi 2015,7.648780186454004
Bhrame,2020,120,5.0,1,1,6,Bhrame kannada 2020,5.562523510971787
Cocktail,2012,146,6.3,13390,5819,5,Cocktail hindi 2012,6.298887146166683
Kottankuchi,0,122,5.0,1,8,16,Kottankuchi tamil 0,5.562523510971787
Ganamela,1991,120,4.2,33,5815,9,Ganamela malayalam 1991,4.740287356321839
Madhura Prema,2010,120,5.0,1,8,6,Madhura Prema kannada 2010,5.562523510971787
Sahi Dhandhe Galat Bande,2011,119,4.8,263,158,5,Sahi Dhandhe Galat Bande hindi 2011,4.8583644973288
Shevri,2006,106,7.4,36,8,10,Shevri marathi 2006,6.732903811252269
When Obama Loved Osama,2018,116,4.9,34,5,5,When Obama Loved Osama hindi 2018,5.163191222570534
Aliyan vs Aliyan,2017,120,8.7,12,5,9,Aliyan vs Aliyan malayalam 2017,6.720470219435737
Nithya Kanyaka,1963,120,5.0,1,0,9,Nithya Kanyaka malayalam 1963,5.562523510971787
Summer 2007,2008,166,6.2,236,6824,5,Summer 2007 hindi 2008,6.150099288876962
Tere Mere Beech,2015,120,5.0,1,0,19,Tere Mere Beech urdu 2015,5.562523510971787
Urvashi,1995,107,5.0,1,8,1,Urvashi assamese 1995,5.562523510971787
Tiger Number One,2011,155,5.0,1,8,2,Tiger Number One bengali 2011,5.562523510971787
Janam Kundli,1995,157,4.1,25,18,5,Janam Kundli hindi 1995,4.779902548725637
Nantu Ghotok,1982,140,5.0,1,589,2,Nantu Ghotok bengali 1982,5.562523510971787
Tod De Dushman Ki Nali Ram Aur Ali,2018,123,5.0,1,8,3,Tod De Dushman Ki Nali Ram Aur Ali bhojpuri 2018,5.562523510971787
Khel Saat Baaracha,2010,113,5.0,1,8,10,Khel Saat Baaracha marathi 2010,5.562523510971787
Raja Sanyasi,1966,120,5.0,1,8,2,Raja Sanyasi bengali 1966,5.562523510971787
Kishore Kumar Junior,2018,145,6.0,194,8,2,Kishore Kumar Junior bengali 2018,5.95988612670409
Kollavum Pazhaya pattum,2013,3,5.0,1,2114,9,Kollavum Pazhaya pattum malayalam 2013,5.562523510971787
Naughty Gang,2019,154,5.0,1,5,5,Naughty Gang hindi 2019,5.562523510971787
Paij,1980,120,5.0,1,8,10,Paij marathi 1980,5.562523510971787
Pudhu Kavithai,1982,138,7.3,92,814,16,Pudhu Kavithai tamil 1982,6.982084223375038
Ayal Kadha Ezhuthukayanu,1998,155,7.0,487,5819,9,Ayal Kadha Ezhuthukayanu malayalam 1998,6.9416840890578335
Namma Graamam,2014,100,7.7,6,89,9,Namma Graamam malayalam 2014,6.0583524904214565
Chinchlichi Mayakka Devi,2008,120,5.0,1,9,10,Chinchlichi Mayakka Devi marathi 2008,5.562523510971787
Kiara,0,120,5.0,1,13,5,Kiara hindi 0,5.562523510971787
Kannante Aanakal,2013,120,5.0,1,7,9,Kannante Aanakal malayalam 2013,5.562523510971787
Shikhandi Kotha,2013,103,5.0,1,89,2,Shikhandi Kotha bengali 2013,5.562523510971787
Padam Onnu Oru Vilapam,2003,105,7.3,79,8,9,Padam Onnu Oru Vilapam malayalam 2003,6.940755172413792
Nawab,1991,138,7.4,10,8,2,Nawab bengali 1991,6.173403781979978
Ganesh Senchuri: Fanfani,2017,120,5.0,1,2114,11,Ganesh Senchuri: Fanfani nepali 2017,5.562523510971787
Pravasi Mandira,1968,120,5.0,1,0,6,Pravasi Mandira kannada 1968,5.562523510971787
Cash,2007,137,3.4,1844,1624,5,Cash hindi 2007,3.424651751872053
Sarvasakshi,1980,135,7.7,6,1624,10,Sarvasakshi marathi 1980,6.0583524904214565
Ma Chhinnamasta,1978,120,5.0,1,8,2,Ma Chhinnamasta bengali 1978,5.562523510971787
Aatish,2018,120,8.9,26,8,19,Aatish urdu 2018,7.420755685986793
Jadugar,1942,120,5.0,1,9,5,Jadugar hindi 1942,5.562523510971787
Yeh Lamhe Judaai Ke,2004,135,3.7,1611,81619,5,Yeh Lamhe Judaai Ke hindi 2004,3.7243109787018263
Pure Punjabi,2012,130,6.4,78,58,13,Pure Punjabi punjabi 2012,6.2280355276907
Mafia,1993,120,6.1,73,1624,9,Mafia malayalam 1993,5.985909757887013
Muchataga Mugguru,1985,120,7.0,8,5,17,Muchataga Mugguru telugu 1985,5.978466111771701
Aakashavaani,2021,120,5.0,1,8,17,Aakashavaani telugu 2021,5.562523510971787
Khelechi Aajgubi,2018,120,5.0,1,5,2,Khelechi Aajgubi bengali 2018,5.562523510971787
Ennaku 20 Unakku 18,2003,120,5.3,374,81519,17,Ennaku 20 Unakku 18 telugu 2003,5.315381056307289
Guru,2017,116,8.0,654,1822,17,Guru telugu 2017,7.925000766283525
Maa Inti Adapaduchu,1996,120,5.0,1,9,17,Maa Inti Adapaduchu telugu 1996,5.562523510971787
Payal Kunjunni,0,122,5.0,1,8,9,Payal Kunjunni malayalam 0,5.562523510971787
Bhagya Laxmi,1944,120,5.0,1,0,5,Bhagya Laxmi hindi 1944,5.562523510971787
Godfather,1992,120,6.5,237,68,19,Godfather urdu 1992,6.425874097834804
Charlie Chaplin,2002,142,5.9,54,5,16,Charlie Chaplin tamil 2002,5.813006896551725
Yamirukka Bayamen,1983,120,7.4,5,9,16,Yamirukka Bayamen tamil 1983,5.937519893899205
Chaal Baaz,1980,120,5.0,1,1,5,Chaal Baaz hindi 1980,5.562523510971787
Mera Challenge,1989,120,5.0,1,0,5,Mera Challenge hindi 1989,5.562523510971787
Athisayangalude Venal,2017,117,7.1,12,8,9,Athisayangalude Venal malayalam 2017,6.138652037617555
Maan Maryada,1984,139,3.7,13,1,5,Maan Maryada hindi 1984,4.866926977687627
Oothikachiya Ponnu,1981,129,6.1,17,8,9,Oothikachiya Ponnu malayalam 1981,5.817776769509982
Pour vivre heureux,2018,88,6.4,62,819,12,Pour vivre heureux oriya 2018,6.1948857498961365
Chor Chor Super Chor,2013,99,6.6,225,5824,5,Chor Chor Super Chor hindi 2013,6.513721614802355
Chirag-e-Cheen,1955,120,5.0,1,0,5,Chirag-e-Cheen hindi 1955,5.562523510971787
D Company,2021,120,5.0,1,1624,6,D Company kannada 2021,5.562523510971787
Nuisance,2020,7,5.0,1,218,9,Nuisance malayalam 2020,5.562523510971787
Usay Dekha Usay Chaha,1974,120,5.0,1,19,19,Usay Dekha Usay Chaha urdu 1974,5.562523510971787
Sati Toral,1935,120,5.0,1,0,5,Sati Toral hindi 1935,5.562523510971787
Sidha Kura Janta Sangha,2017,120,5.0,1,171823,11,Sidha Kura Janta Sangha nepali 2017,5.562523510971787
I _You,2018,129,5.0,1,19,6,I _You kannada 2018,5.562523510971787
Naanga Romba Busy,2020,149,5.8,141,5,16,Naanga Romba Busy tamil 2020,5.772688378033205
Laiye Je Yaarian,2019,117,6.9,140,19,13,Laiye Je Yaarian punjabi 2019,6.72904047976012
King Liar,2016,157,5.4,726,5,9,King Liar malayalam 2016,5.405321977565435
Chota Mumbai,2007,120,6.9,1182,156,9,Chota Mumbai malayalam 2007,6.877120130707714
Gnanapazham,1996,180,5.0,1,0,16,Gnanapazham tamil 1996,5.562523510971787
Lokame Kothagaa,2011,120,5.0,1,0,17,Lokame Kothagaa telugu 2011,5.562523510971787
Mayday,2022,141,5.0,1,824,5,Mayday hindi 2022,5.562523510971787
Kodaikkanal,2008,115,5.0,1,8,16,Kodaikkanal tamil 2008,5.562523510971787
Sainik,1993,145,6.2,1127,1819,5,Sainik hindi 1993,6.188828847771237
Jungle Princess,1958,120,5.0,1,10,5,Jungle Princess hindi 1958,5.562523510971787
Ahinsa Path,1949,120,5.0,1,0,5,Ahinsa Path hindi 1949,5.562523510971787
Drohi,1948,179,5.0,1,8,17,Drohi telugu 1948,5.562523510971787
Pukar,1939,165,7.0,66,812,12,Pukar oriya 1939,6.659488703923899
Number One Shakib Khan,2010,175,4.5,523,158,2,Number One Shakib Khan bengali 2010,4.5420505831643005
Stand By,2011,120,6.3,25,82224,5,Stand By hindi 2011,5.975554722638681
L3,0,120,5.0,1,124,9,L3 malayalam 0,5.562523510971787
Manila Ke Janbaz,1989,120,5.0,1,1,19,Manila Ke Janbaz urdu 1989,5.562523510971787
Nanjundi Kalyana,2018,131,5.0,1,8,6,Nanjundi Kalyana kannada 2018,5.562523510971787
Do Jasoos,1975,135,6.3,99,516,5,Do Jasoos hindi 1975,6.175629310344827
Naya Gupt Gyan,2001,120,5.0,1,24,5,Naya Gupt Gyan hindi 2001,5.562523510971787
Gojamil,2019,120,5.0,1,8,2,Gojamil bengali 2019,5.562523510971787
Son of Flower,2012,120,5.0,1,8,5,Son of Flower hindi 2012,5.562523510971787
Sri Jagadguru Adi Shankara,2013,128,6.3,273,8,17,Sri Jagadguru Adi Shankara telugu 2013,6.24923645320197
Kavita,1962,120,5.0,1,0,16,Kavita tamil 1962,5.562523510971787
Anmol Mohabat,1978,120,5.0,1,0,19,Anmol Mohabat urdu 1978,5.562523510971787
Ullathai Allitha,1996,149,7.7,385,5,16,Ullathai Allitha tamil 1996,7.590826397146254
Barood,1984,139,5.0,1,6,19,Barood urdu 1984,5.562523510971787
Nirahua Chalal Sasuraal 2,2016,165,5.0,1,8,3,Nirahua Chalal Sasuraal 2 bhojpuri 2016,5.562523510971787
Bhukailasa,1958,169,9.0,23,8,6,Bhukailasa kannada 1958,7.372170846394985
Ram Lakhan,2016,168,5.0,1,8,3,Ram Lakhan bhojpuri 2016,5.562523510971787
The Golden Gang,1939,120,5.0,1,1,5,The Golden Gang hindi 1939,5.562523510971787
Thank You,0,120,5.0,1,8,17,Thank You telugu 0,5.562523510971787
Nagri Data Di,2004,120,5.0,1,0,13,Nagri Data Di punjabi 2004,5.562523510971787
Song of Clouds,2020,15,7.3,12,21,11,Song of Clouds nepali 2020,6.211379310344827
Ivide Thudangunnu,1984,137,6.0,11,1819,9,Ivide Thudangunnu malayalam 1984,5.730484913793104
Swami Chhintai,2004,120,5.0,1,1,2,Swami Chhintai bengali 2004,5.562523510971787
Ghantaa,2016,120,6.3,15,5,10,Ghantaa marathi 2016,5.885431034482759
Dhakad Chhora 2,2007,117,5.0,1,1998,5,Dhakad Chhora 2 hindi 2007,5.562523510971787
Gunjan,1992,120,5.0,1,8,2,Gunjan bengali 1992,5.562523510971787
Superstar,2008,120,5.9,703,819,5,Superstar hindi 2008,5.890988283482568
Pahadi Jawan,1964,120,5.0,1,1,5,Pahadi Jawan hindi 1964,5.562523510971787
Naa laga endaro,1978,125,5.0,1,8,17,Naa laga endaro telugu 1978,5.562523510971787
Harsukh,2021,43,10.0,9,721,19,Harsukh urdu 2021,6.912517241379311
Kay Dyache Bola,2005,103,7.1,207,5,10,Kay Dyache Bola marathi 2005,6.9608575317604355
Derso Khokhar Kando,1959,120,5.0,1,8,2,Derso Khokhar Kando bengali 1959,5.562523510971787
Banjarey,1948,120,5.0,1,0,5,Banjarey hindi 1948,5.562523510971787
Coffee,0,120,5.0,1,819,10,Coffee marathi 0,5.562523510971787
Aa Okkati Adakku,1993,155,7.8,276,5,17,Aa Okkati Adakku telugu 1993,7.643688610240334
Tara vs Bilal,2022,120,5.0,1,19,5,Tara vs Bilal hindi 2022,5.562523510971787
Okato Number Kurraadu,2002,120,5.8,9,19,17,Okato Number Kurraadu telugu 2002,5.652517241379311
Disha,1990,135,7.0,144,5815,5,Disha hindi 1990,6.820457680250784
Baapjanma,2017,121,8.2,367,8,10,Baapjanma marathi 2017,8.058699786704585
Monophobia,2012,63,5.0,1,8,5,Monophobia hindi 2012,5.562523510971787
Jamuna Ke Teer,1978,120,5.0,1,1,5,Jamuna Ke Teer hindi 1978,5.562523510971787
Babul Ki Galiyan,1972,120,5.9,9,819,5,Babul Ki Galiyan hindi 1972,5.682517241379311
Ameena,1934,120,5.0,1,0,5,Ameena hindi 1934,5.562523510971787
Anarkali,1966,120,8.4,5,0,9,Anarkali malayalam 1966,6.129827586206897
Babo,2019,120,7.2,5,5,10,Babo marathi 2019,5.899058355437666
Jawab,1955,120,6.0,5,568,5,Jawab hindi 1955,5.668289124668435
Murad,1961,120,5.0,1,0,5,Murad hindi 1961,5.562523510971787
Last,0,120,5.0,1,218,19,Last urdu 0,5.562523510971787
Paheli,1977,131,7.6,32,89,5,Paheli hindi 1977,6.803311646063761
Ondhokar,2003,153,5.8,12,16,2,Ondhokar bengali 2003,5.665924764890281
Commissioner,1994,175,7.6,545,1624,9,Commissioner malayalam 1994,7.525398440355794
Rakhi Aur Hathkadi,1972,90,6.5,21,189,5,Rakhi Aur Hathkadi hindi 1972,6.044655172413793
Deewane,1991,120,3.6,5,19,5,Deewane hindi 1991,5.2067506631299745
Yamagola,1977,149,6.7,114,51019,17,Yamagola telugu 1977,6.527226053639847
Anjaniputra,2017,149,6.2,552,119,6,Anjaniputra kannada 2017,6.177618703737137
Kayyoppu,2007,95,8.0,553,8,9,Kayyoppu malayalam 2007,7.911804037005887
Chattaniki Veyi Kallu,1983,125,5.0,1,8,17,Chattaniki Veyi Kallu telugu 1983,5.562523510971787
Jugni,2016,115,6.3,134,8,5,Jugni hindi 2016,6.203713014460511
Okkade,2005,120,5.0,1,1,17,Okkade telugu 2005,5.562523510971787
Agni Rekha,1973,120,7.3,9,8,5,Agni Rekha hindi 1973,6.102517241379311
Purab Aur Paschim,2006,120,5.0,1,19,3,Purab Aur Paschim bhojpuri 2006,5.562523510971787
It Happens That Way Too: Part II,2003,137,7.3,715,568,5,It Happens That Way Too: Part II hindi 2003,7.251189561469266
Barkhay Jhari (Monsoon Rain),2014,120,5.0,1,218,11,Barkhay Jhari (Monsoon Rain) nepali 2014,5.562523510971787
Shaadi Karke Phas Gaya Yaar,2018,121,5.0,1,8,3,Shaadi Karke Phas Gaya Yaar bhojpuri 2018,5.562523510971787
Sesh Sangbad: The Last News,2016,120,4.6,35,824,2,Sesh Sangbad: The Last News bengali 2016,4.9709913793103455
Amir Garib,1974,140,6.7,87,124,5,Amir Garib hindi 1974,6.484032567049808
Approaching Truckdrivers,2017,15,5.0,1,21,19,Approaching Truckdrivers urdu 2017,5.562523510971787
Villain,2013,140,5.4,13,24,2,Villain bengali 2013,5.516926977687627
Doodh Mangoge To Kheer Denge Kashmir Mangoge Cheer Denge,0,122,5.0,1,8,3,Doodh Mangoge To Kheer Denge Kashmir Mangoge Cheer Denge bhojpuri 0,5.562523510971787
Prithvi Vallabh,1943,121,7.8,26,8,5,Prithvi Vallabh hindi 1943,6.812245047688921
Gurthunda Seethakalam,0,120,5.0,1,19,17,Gurthunda Seethakalam telugu 0,5.562523510971787
Faasle,1985,146,4.6,63,819,5,Faasle hindi 1985,4.847327586206896
Limit,2021,120,5.0,1,4,6,Limit kannada 2021,5.562523510971787
Poruthathu Pothum,1989,120,5.0,1,0,16,Poruthathu Pothum tamil 1989,5.562523510971787
Kurup,2021,120,5.0,1,4624,9,Kurup malayalam 2021,5.562523510971787
Kondithoppu Subbu,0,122,5.0,1,8,16,Kondithoppu Subbu tamil 0,5.562523510971787
Pritam,1942,120,5.0,1,0,5,Pritam hindi 1942,5.562523510971787
Yeh Kaisa Bharat Bandh,1994,120,5.0,1,1,5,Yeh Kaisa Bharat Bandh hindi 1994,5.562523510971787
Mera Faisla,1984,120,3.9,43,1,5,Mera Faisla hindi 1984,4.454304956896552
Alaudin,2003,145,4.7,25,8,16,Alaudin tamil 2003,5.1059895052473765
Qismat,2018,137,8.4,2314,819,13,Qismat punjabi 2018,8.374721848925645
Hausla,1984,120,5.0,1,1,5,Hausla hindi 1984,5.562523510971787
C.I.D. 909,1967,123,5.8,17,168,5,C.I.D. 909 hindi 1967,5.683566243194192
Balyakalasakhi,2014,121,5.1,259,19,9,Balyakalasakhi malayalam 2014,5.136698275862069
Konga Nattu Thangam,1962,120,5.0,1,0,16,Konga Nattu Thangam tamil 1962,5.562523510971787
Ghutan,2007,126,4.9,51,13,5,Ghutan hindi 2007,5.1010488505747125
Law of Love,2008,120,5.0,1,21,19,Law of Love urdu 2008,5.562523510971787
Hurricane Express,1961,120,5.0,1,1,5,Hurricane Express hindi 1961,5.562523510971787
Black Market,1967,173,5.0,1,0,6,Black Market kannada 1967,5.562523510971787
Prayanikara Gamanakke,2018,115,6.1,7,24,6,Prayanikara Gamanakke kannada 2018,5.71698275862069
Chonchu,2021,120,6.7,7,24,2,Chonchu bengali 2021,5.866982758620689
Hani Hani,2008,120,5.0,1,8,6,Hani Hani kannada 2008,5.562523510971787
Njan Onnu Parayatte,1982,120,5.6,11,0,9,Njan Onnu Parayatte malayalam 1982,5.592984913793103
Naya Sansar,1959,120,5.0,1,89,5,Naya Sansar hindi 1959,5.562523510971787
Andaz,1971,166,6.7,272,819,5,Andaz hindi 1971,6.620394256796517
Aaj Kal,1959,120,5.0,1,8,19,Aaj Kal urdu 1959,5.562523510971787
Aashamsakalode,1984,120,5.0,1,0,9,Aashamsakalode malayalam 1984,5.562523510971787
Siva Senai,2014,123,5.0,1,1824,16,Siva Senai tamil 2014,5.562523510971787
Zimbo KI Beti,1959,120,5.0,1,1,5,Zimbo KI Beti hindi 1959,5.562523510971787
Thoda Sa Waqt!,2014,20,5.0,1,2189,19,Thoda Sa Waqt! urdu 2014,5.562523510971787
Gandhi & Co.,0,120,5.0,1,8,4,Gandhi & Co. gujarati 0,5.562523510971787
Dolti Naiya,1950,120,5.0,1,0,5,Dolti Naiya hindi 1950,5.562523510971787
Kaatru Veliyidai,2017,146,5.9,1833,119,16,Kaatru Veliyidai tamil 2017,5.896480861510992
Aur Woh Raks Karte Rahi,1996,60,5.0,1,7,19,Aur Woh Raks Karte Rahi urdu 1996,5.562523510971787
Mehndi Shagna Di,1992,120,5.0,1,8,13,Mehndi Shagna Di punjabi 1992,5.562523510971787
Pandavulu Pandavulu Thummeda,2014,156,6.3,1276,5,17,Pandavulu Pandavulu Thummeda telugu 2014,6.2884930742030685
Bala MIthrula Katha,1972,96,5.0,1,8,17,Bala MIthrula Katha telugu 1972,5.562523510971787
Kadhal Kadhai,2009,110,5.0,1,8,16,Kadhal Kadhai tamil 2009,5.562523510971787
Waapsi,1986,120,5.6,9,16,5,Waapsi hindi 1986,5.59251724137931
Ratha Sapthami,1986,150,7.4,14,8,6,Ratha Sapthami kannada 1986,6.313586206896552
Walter,2020,133,3.7,239,1624,16,Walter tamil 2020,3.8525981432360745
Ambigai Neyril Vandhaal,1984,129,5.6,5,8,16,Ambigai Neyril Vandhaal tamil 1984,5.591366047745359
Jagachya Pathivar,1960,147,7.6,28,814,10,Jagachya Pathivar marathi 1960,6.738275862068965
Jung Siyasat Ke,2018,120,5.0,1,8,3,Jung Siyasat Ke bhojpuri 2018,5.562523510971787
Bhaskar Oru Rascal,2018,152,4.7,309,158,16,Bhaskar Oru Rascal tamil 2018,4.756592476489028
Chandranile Chayakada,2009,11,6.0,8,218,9,Chandranile Chayakada malayalam 2009,5.7026040428061835
Punaraphi,2018,158,5.0,1,13,6,Punaraphi kannada 2018,5.562523510971787
Ek Sapera Ek Lutera,1965,125,6.7,15,1515,3,Ek Sapera Ek Lutera bhojpuri 1965,6.0520977011494255
Tuglak,2012,120,8.5,25,8,6,Tuglak kannada 2012,7.171206896551724
Maherchi Sadi,1991,120,7.3,48,9,10,Maherchi Sadi marathi 1991,6.77935532233883
Aandhi-Toofan,1985,144,6.1,47,8,5,Aandhi-Toofan hindi 1985,5.942287018255578
Bhakta Gopalbhaiya,1948,120,5.0,1,0,5,Bhakta Gopalbhaiya hindi 1948,5.562523510971787
Shaheed-E-Azam,2002,173,7.3,21,4812,5,Shaheed-E-Azam hindi 2002,6.444655172413793
Interrogation,2015,116,5.0,1,68,16,Interrogation tamil 2015,5.562523510971787
Kaphal: Wild Berries,2013,90,8.2,45,128,5,Kaphal: Wild Berries hindi 2013,7.369326018808777
Mrugam,1996,112,5.0,1,8,17,Mrugam telugu 1996,5.562523510971787
Manchi Vaalaku Manchivadu,1973,120,5.0,1,2,17,Manchi Vaalaku Manchivadu telugu 1973,5.562523510971787
Kayamkulam Kochunniyude Maghan,1976,120,5.0,1,0,9,Kayamkulam Kochunniyude Maghan malayalam 1976,5.562523510971787
Idhu Engga Naad,1983,120,5.0,1,8,16,Idhu Engga Naad tamil 1983,5.562523510971787
Araler Antorale: The Inside Story,2013,90,7.5,14,24,2,Araler Antorale: The Inside Story bengali 2013,6.353586206896552
WOH,2004,120,4.5,39,6824,5,WOH hindi 2004,4.881258620689655
Oram Po,2007,120,6.8,300,18,16,Oram Po tamil 2007,6.720796003867226
Vasoolraja M.B.B.S,2004,160,7.9,2976,58,16,Vasoolraja M.B.B.S tamil 2004,7.883808981395189
Jai Shakumbhari Maa,2000,149,5.0,1,8910,5,Jai Shakumbhari Maa hindi 2000,5.562523510971787
Chitrakoodam,2003,137,5.0,1,0,9,Chitrakoodam malayalam 2003,5.562523510971787
Gunsundari,1934,185,5.0,1,89,5,Gunsundari hindi 1934,5.562523510971787
Nanonthara,2020,120,5.0,1,8,6,Nanonthara kannada 2020,5.562523510971787
Chathurbhuja,2014,130,5.0,1,11924,6,Chathurbhuja kannada 2014,5.562523510971787
MLA Web Comedy,2020,12,5.0,1,215,9,MLA Web Comedy malayalam 2020,5.562523510971787
Doctor Krishna,1989,120,5.0,1,0,6,Doctor Krishna kannada 1989,5.562523510971787
Amayakudu Kadu Aggi Bharothalu,1984,120,5.0,1,15,17,Amayakudu Kadu Aggi Bharothalu telugu 1984,5.562523510971787
Andaz,1949,148,7.3,483,1586,5,Andaz hindi 1949,7.228721264367817
Idhu Kadal Varum Parivom,2006,100,5.0,1,8,16,Idhu Kadal Varum Parivom tamil 2006,5.562523510971787
Postcards from Earth's Whisper,2011,30,5.0,1,7,19,Postcards from Earth's Whisper urdu 2011,5.562523510971787
Koshish,1972,125,8.6,1491,8,5,Koshish hindi 1972,8.558184865900383
Dara Sikandar,1981,120,5.0,1,115,13,Dara Sikandar punjabi 1981,5.562523510971787
Baaghi 2,2018,137,4.8,9348,124,5,Baaghi 2 hindi 2018,4.801769187452384
Su-Raaj,1987,120,5.0,1,8,5,Su-Raaj hindi 1987,5.562523510971787
Ram-Avtar,1988,170,4.5,198,1819,5,Ram-Avtar hindi 1988,4.604454416627303
Kaliyuga Ramudu,1982,120,4.1,7,0,17,Kaliyuga Ramudu telugu 1982,5.21698275862069
Zahid,2022,120,5.0,1,24,2,Zahid bengali 2022,5.562523510971787
The Killer,0,90,5.0,1,13,5,The Killer hindi 0,5.562523510971787
Ishq,2019,120,5.0,1,2119,19,Ishq urdu 2019,5.562523510971787
De Nova... The Road Less Trodden,2010,120,5.0,1,8,5,De Nova... The Road Less Trodden hindi 2010,5.562523510971787
Vithagan,2011,120,5.8,12,1,16,Vithagan tamil 2011,5.665924764890281
Mogacho Anvddo,1950,120,5.0,1,19,8,Mogacho Anvddo konkani 1950,5.562523510971787
Bondita,1945,120,5.0,1,8,2,Bondita bengali 1945,5.562523510971787
Naa Pilupe Pranhanjanam,1986,120,5.0,1,0,17,Naa Pilupe Pranhanjanam telugu 1986,5.562523510971787
City of God,2011,145,7.1,577,8,9,City of God malayalam 2011,7.046949025487256
Makkaliralavva Mane Thumba,1984,126,4.8,6,0,6,Makkaliralavva Mane Thumba kannada 1984,5.413908045977012
Manushiyan,1979,120,5.0,1,0,9,Manushiyan malayalam 1979,5.562523510971787
Thamizh Desam,2011,120,5.0,1,0,16,Thamizh Desam tamil 2011,5.562523510971787
