Movie Name,Year,Timing(min),Rating(10),Votes,Genre,Language,unique_movies,weighted_average
Varam,1989,120,5.0,1,19,16,Varam tamil 1989,5.562523510971787
Tere Bin Laden,2010,95,7.2,10196,58,12,Tere Bin Laden oriya 2010,7.1966893919194845
Teko,2019,110,6.8,11,5,2,Teko bengali 2019,6.0054849137931035
6 Candles,2013,129,7.0,177,24,16,6 Candles tamil 2013,6.8503814002089864
Annayya,2000,157,6.6,417,589,17,Annayya telugu 2000,6.551542276806802
Meherjaan,2011,119,3.6,711,812,2,Meherjaan bengali 2011,3.6570703787450536
Mithayi Mane,2005,120,5.0,1,8,6,Mithayi Mane kannada 2005,5.562523510971787
Var To NRI J,2016,120,5.0,1,5,4,Var To NRI J gujarati 2016,5.562523510971787
Gola Barood,1989,120,3.6,25,168,5,Gola Barood hindi 1989,4.508163418290855
Saattayillatha Pambaram,1983,120,5.0,1,0,16,Saattayillatha Pambaram tamil 1983,5.562523510971787
15 Lakh Kado Aauga,2019,132,6.5,40,5,13,15 Lakh Kado Aauga punjabi 2019,6.18648388920294
Genova,1953,120,5.0,1,0,16,Genova tamil 1953,5.562523510971787
Manikyam,1999,120,5.5,10,5,17,Manikyam telugu 1999,5.560500556173527
Alanti Sitralu,2021,120,5.0,1,8,17,Alanti Sitralu telugu 2021,5.562523510971787
Uff Yeh Nasha,2000,120,5.0,1,24,5,Uff Yeh Nasha hindi 2000,5.562523510971787
Jolsobi,0,87,5.0,1,8,1,Jolsobi assamese 0,5.562523510971787
Ajamil,1934,120,5.0,1,0,5,Ajamil hindi 1934,5.562523510971787
Durga,1974,120,5.0,1,0,9,Durga malayalam 1974,5.562523510971787
Body Guard,1978,120,5.0,1,0,19,Body Guard urdu 1978,5.562523510971787
Mela Thiranthathu Kadhavu,1986,142,7.2,76,19,16,Mela Thiranthathu Kadhavu tamil 1986,6.851293992179168
Makkala Sainya,1980,120,6.6,16,0,6,Makkala Sainya kannada 1980,6.026365330848089
Thili Neeru,2016,120,5.0,1,13,6,Thili Neeru kannada 2016,5.562523510971787
Aayirathil Oruvan 2,2024,120,5.0,1,1224,16,Aayirathil Oruvan 2 tamil 2024,5.562523510971787
Insha'Allah,2009,55,7.1,195,8,12,Insha'Allah oriya 2009,6.953127394636016
The Mission 100,2000,120,5.0,1,8,5,The Mission 100 hindi 2000,5.562523510971787
376 D,2020,128,5.2,251,624,5,376 D hindi 2020,5.230057048681542
Gapallondu Cinema,2017,140,5.0,1,8,6,Gapallondu Cinema kannada 2017,5.562523510971787
Nazar,1990,124,6.3,87,8,5,Nazar hindi 1990,6.161810344827586
Tasveer,1966,120,6.0,8,1,5,Tasveer hindi 1966,5.7026040428061835
Mehandi Laga Ke Rakhna,2017,160,7.9,14,8,3,Mehandi Laga Ke Rakhna bhojpuri 2017,6.513586206896552
Papparapaam,0,120,5.0,1,8,16,Papparapaam tamil 0,5.562523510971787
Love Express,2011,141,5.3,117,58,13,Love Express punjabi 2011,5.3440254872563715
Krishna Tere Desh Mein,2000,120,5.0,1,8,5,Krishna Tere Desh Mein hindi 2000,5.562523510971787
Shama,1961,149,6.8,9,81519,12,Shama oriya 1961,5.952517241379311
 The Inspector Lynley Mysteries,2001,90,7.6,284,6816,12, The Inspector Lynley Mysteries oriya 2001,7.461559072922555
Bhagya,2015,109,5.0,1,8915,5,Bhagya hindi 2015,5.562523510971787
Phullu,2017,96,6.0,187,58,5,Phullu hindi 2017,5.958536140583555
Kanthahaar,1935,120,5.0,1,0,2,Kanthahaar bengali 1935,5.562523510971787
Vaaleduthaven Vaalaal,1979,120,5.0,1,0,9,Vaaleduthaven Vaalaal malayalam 1979,5.562523510971787
Vamsha Govravam,1982,135,5.0,1,8,17,Vamsha Govravam telugu 1982,5.562523510971787
Ganga,1974,120,5.0,1,8,5,Ganga hindi 1974,5.562523510971787
Godfather,1992,120,6.5,237,68,12,Godfather oriya 1992,6.425874097834804
Sindoor Ki Saugandh,2002,120,5.0,1,1,5,Sindoor Ki Saugandh hindi 2002,5.562523510971787
Paruvathin Vasalile,1980,123,5.0,1,8,16,Paruvathin Vasalile tamil 1980,5.562523510971787
Kohraam,1991,135,5.6,25,1,5,Kohraam hindi 1991,5.595119940029986
Majha Hoshil Ka?,1963,120,5.0,1,0,10,Majha Hoshil Ka? marathi 1963,5.562523510971787
Preethigaagi,2007,158,5.0,1,8,6,Preethigaagi kannada 2007,5.562523510971787
All About Sec-377,2016,126,5.0,1,58,5,All About Sec-377 hindi 2016,5.562523510971787
Haal,2011,23,5.0,1,21812,19,Haal urdu 2011,5.562523510971787
Dasara,1949,120,5.0,1,0,6,Dasara kannada 1949,5.562523510971787
Gun Man,1981,120,5.0,1,0,19,Gun Man urdu 1981,5.562523510971787
Reformer,2014,120,5.0,1,15,17,Reformer telugu 2014,5.562523510971787
Jyothi,1976,114,7.3,6,8,17,Jyothi telugu 1976,5.969463601532567
Pushpaka Vimana,2017,142,7.5,271,589,6,Pushpaka Vimana kannada 2017,7.362587387812943
Tangewala,1972,139,5.6,29,168,5,Tangewala hindi 1972,5.595510344827586
Chundri Odhasi Mahro Bir,2012,140,7.0,8,8912,14,Chundri Odhasi Mahro Bir rajastani 2012,5.978466111771701
Zanjeer,2013,137,3.2,2387,168,17,Zanjeer telugu 2013,3.220837008821171
Samarpita,1983,120,5.0,1,8,2,Samarpita bengali 1983,5.562523510971787
Iravaakaalam,0,120,5.0,1,0,16,Iravaakaalam tamil 0,5.562523510971787
Kanikanum Neram,1987,120,5.0,1,0,9,Kanikanum Neram malayalam 1987,5.562523510971787
Raktha Shasana,2016,116,5.0,1,8,6,Raktha Shasana kannada 2016,5.562523510971787
Sushila,1963,120,5.0,1,9,5,Sushila hindi 1963,5.562523510971787
Mattilo Manikyam,1971,120,5.0,1,5819,17,Mattilo Manikyam telugu 1971,5.562523510971787
Load Wedding,2018,135,7.4,791,258,12,Load Wedding oriya 2018,7.3531718192627835
Galate Samsara,1977,120,6.1,19,0,6,Galate Samsara kannada 1977,5.831887931034482
Ranjha Ikk Tey Heeran Do,1979,147,5.0,1,9,13,Ranjha Ikk Tey Heeran Do punjabi 1979,5.562523510971787
It Happened Tomorrow,2009,120,5.0,1,2120,9,It Happened Tomorrow malayalam 2009,5.562523510971787
Eastern Promises,2007,100,7.6,230284,168,19,Eastern Promises urdu 2007,7.599816658419233
Cinema Queen,1934,120,5.0,1,0,5,Cinema Queen hindi 1934,5.562523510971787
Akkadokaduntadu,2019,120,6.3,19,8,17,Akkadokaduntadu telugu 2019,5.926887931034483
Rukmini Swayamvar,1946,120,5.0,1,0,10,Rukmini Swayamvar marathi 1946,5.562523510971787
Dammunnodu,2010,120,5.0,1,168,17,Dammunnodu telugu 2010,5.562523510971787
Little Terrors,2014,103,5.9,103,8,5,Little Terrors hindi 2014,5.84738320355951
College days to marriage days,2008,115,5.0,1,8,17,College days to marriage days telugu 2008,5.562523510971787
Jagame Thandhiram,2021,157,5.0,1,156,16,Jagame Thandhiram tamil 2021,5.562523510971787
Letters from Deuta,2017,17,5.0,1,218,1,Letters from Deuta assamese 2017,5.562523510971787
Aaghat,1997,120,5.0,1,8,5,Aaghat hindi 1997,5.562523510971787
Yakshi,1968,120,7.7,42,24,9,Yakshi malayalam 1968,6.996436781609196
Chella Pillai,0,120,5.0,1,8,16,Chella Pillai tamil 0,5.562523510971787
Wahan,1937,130,5.0,1,8,5,Wahan hindi 1937,5.562523510971787
Rajkanya,1965,140,6.6,14,81619,2,Rajkanya bengali 1965,5.993586206896552
Prem Vasna,2003,113,5.0,1,81924,5,Prem Vasna hindi 2003,5.562523510971787
Verna,2017,158,7.1,549,6824,19,Verna urdu 2017,7.044343012704173
Avataran,2021,149,5.0,1,20,1,Avataran assamese 2021,5.562523510971787
Amar Geeti,1983,120,7.2,10,8,2,Amar Geeti bengali 1983,6.10888765294772
Etwa,1988,120,5.0,1,8,2,Etwa bengali 1988,5.562523510971787
Main Rony Aur Jony,2007,120,5.8,10,519,5,Main Rony Aur Jony hindi 2007,5.657274749721914
Gaddam Gang,2015,144,5.8,11,56,17,Gaddam Gang telugu 2015,5.6617349137931035
D3 Dosti Dil Dhokha,2021,120,5.0,1,24,17,D3 Dosti Dil Dhokha telugu 2021,5.562523510971787
Lakshmi Narayan,1951,119,5.0,1,10,5,Lakshmi Narayan hindi 1951,5.562523510971787
Anand Bhawan,1953,120,5.0,1,0,5,Anand Bhawan hindi 1953,5.562523510971787
Turki Sher,1933,120,5.0,1,0,5,Turki Sher hindi 1933,5.562523510971787
Too Much Movie,2020,132,5.0,1,24,19,Too Much Movie urdu 2020,5.562523510971787
31 Divas,2018,133,6.3,18,8,10,31 Divas marathi 2018,5.9173209549071615
Raincoat,2015,150,5.0,1,8,6,Raincoat kannada 2015,5.562523510971787
Rangila,1953,120,5.0,1,0,5,Rangila hindi 1953,5.562523510971787
Mitter Pyare Nu Haal Mureedan Da Kehna,2004,120,7.4,99,168,13,Mitter Pyare Nu Haal Mureedan Da Kehna punjabi 2004,7.083129310344828
Chennai Super Police,2009,114,5.0,1,8,16,Chennai Super Police tamil 2009,5.562523510971787
Modhumilon,1970,120,5.0,1,8,19,Modhumilon urdu 1970,5.562523510971787
Biscuit,2017,124,5.0,1,0,10,Biscuit marathi 2017,5.562523510971787
Shatranj,1956,120,6.7,6,89,5,Shatranj hindi 1956,5.836130268199234
Daag,2001,120,8.5,12,816,1,Daag assamese 2001,6.6477429467084646
Saiya Sawarka Re,2019,120,5.0,1,0,3,Saiya Sawarka Re bhojpuri 2019,5.562523510971787
Upama,2019,82,8.3,7,8,9,Upama malayalam 2019,6.26698275862069
Ragulutunna Bharatam,1992,120,4.5,6,18,17,Ragulutunna Bharatam telugu 1992,5.347241379310345
Khandani,1947,120,5.0,1,0,5,Khandani hindi 1947,5.562523510971787
Pehla Sitara,2012,120,7.0,17,19,5,Pehla Sitara hindi 2012,6.220408348457351
Mayer Odhikar,1996,120,7.7,48,8,2,Mayer Odhikar bengali 1996,7.0576161919040485
Amanusha,2014,120,5.0,1,8,6,Amanusha kannada 2014,5.562523510971787
Ala Ela,2014,132,7.3,96,519,17,Ala Ela telugu 2014,6.992953138815207
Pawan Putra,2020,146,8.2,17,8,3,Pawan Putra bhojpuri 2020,6.757250453720508
Timilai,2015,120,5.0,1,14,11,Timilai nepali 2015,5.562523510971787
Mahabharat Aur Barbareek,2013,137,7.3,16,81025,5,Mahabharat Aur Barbareek hindi 2013,6.329068033550792
702 Dixits,2016,122,4.8,28,24,10,702 Dixits marathi 2016,5.138275862068966
Mitti: Virasat Babbaran Di,2019,137,7.7,10,1812,13,Mitti: Virasat Babbaran Di punjabi 2019,6.270177975528365
Madhumasam,2007,139,6.6,73,19,17,Madhumasam telugu 2007,6.374207630227438
Mrityu: The Truth,2000,120,5.0,1,1,5,Mrityu: The Truth hindi 2000,5.562523510971787
Rasik Balma,2007,120,5.0,1,19,3,Rasik Balma bhojpuri 2007,5.562523510971787
Dharmapuri,2006,132,4.4,14,8,16,Dharmapuri tamil 2006,5.113586206896552
Jai Maharashtra Dhaba Bhatinda,2013,120,5.0,1,19,10,Jai Maharashtra Dhaba Bhatinda marathi 2013,5.562523510971787
Parikshya,2017,20,5.0,1,21616,11,Parikshya nepali 2017,5.562523510971787
Rangeen Kahani,1947,120,5.0,1,0,5,Rangeen Kahani hindi 1947,5.562523510971787
No.1 Mard,1998,120,5.0,1,1,5,No.1 Mard hindi 1998,5.562523510971787
Savari 2,2014,120,6.6,16,5,6,Savari 2 kannada 2014,6.026365330848089
People's Encounter,1991,120,7.9,8,8,17,People's Encounter telugu 1991,6.226741973840666
Mathur,1968,120,5.0,1,8,2,Mathur bengali 1968,5.562523510971787
No: 20 Madras Mail,1990,177,7.7,1074,568,9,No: 20 Madras Mail malayalam 1990,7.659521020311762
Queen of Sajjangarh,2021,120,5.0,1,13,5,Queen of Sajjangarh hindi 2021,5.562523510971787
Red Bluff,2016,120,5.0,1,18,13,Red Bluff punjabi 2016,5.562523510971787
Babul Da Vehda,1985,120,5.0,1,0,13,Babul Da Vehda punjabi 1985,5.562523510971787
Aarohi Gosht Tighanchi,2012,120,5.0,1,8,10,Aarohi Gosht Tighanchi marathi 2012,5.562523510971787
Annai Oru Aalayam,1979,122,7.0,100,28,17,Annai Oru Aalayam telugu 1979,6.755169563978341
Dilli Gang,2013,120,5.0,1,24,5,Dilli Gang hindi 2013,5.562523510971787
Ladies Not Allowed,2020,120,5.0,1,8,17,Ladies Not Allowed telugu 2020,5.562523510971787
Aawaragaadu,2000,120,6.4,8,5,17,Aawaragaadu telugu 2000,5.812948870392391
Anpekshit,1990,120,5.0,1,824,10,Anpekshit marathi 1990,5.562523510971787
Azadi Pachchees Baras Ki,1978,120,5.0,1,8,5,Azadi Pachchees Baras Ki hindi 1978,5.562523510971787
Paalam,1990,120,5.0,1,0,16,Paalam tamil 1990,5.562523510971787
Shyamla,1979,120,5.0,1,1,5,Shyamla hindi 1979,5.562523510971787
Marathon Aarum pedikanda odikko,2021,100,5.0,1,5,9,Marathon Aarum pedikanda odikko malayalam 2021,5.562523510971787
Thank You,2013,120,5.3,79,6,9,Thank You malayalam 2013,5.360755172413793
Chitra Te Shera,1976,120,5.0,1,412,13,Chitra Te Shera punjabi 1976,5.562523510971787
Kaakkaa Muttai,2014,91,8.4,5904,58,16,Kaakkaa Muttai tamil 2014,8.390038061981667
Julie,2006,145,5.0,1,8,6,Julie kannada 2006,5.562523510971787
Duvvada Jagannadham,2017,152,5.7,3644,15,17,Duvvada Jagannadham telugu 2017,5.699365761866679
Chilkur Balaji,2018,120,5.0,1,8,17,Chilkur Balaji telugu 2018,5.562523510971787
Oru Kochukatha Aarum Parayatha Katha,1984,126,5.0,1,8,9,Oru Kochukatha Aarum Parayatha Katha malayalam 1984,5.562523510971787
Arya 2,2009,155,7.4,5627,15,17,Arya 2 telugu 2009,7.393267619908177
Adayalam,1991,136,6.4,100,61624,9,Adayalam malayalam 1991,6.2593017953832994
Uyirvarai Iniththaai,2014,140,6.8,284,519,16,Uyirvarai Iniththaai tamil 2014,6.716641040135669
Mera Pati Sirf Mera Hai,1990,142,3.9,36,89,5,Mera Pati Sirf Mera Hai hindi 1990,4.522377495462795
Maja,2005,139,5.2,393,1519,17,Maja telugu 2005,5.219747626186907
